N,P,K,temperature,humidity,ph,rainfall,soil_type,season,label
90,42,43,20.87,82.00,6.50,202.93,alluvial,kharif,rice
85,58,41,21.77,80.31,7.03,226.65,alluvial,kharif,rice
60,55,44,23.00,82.32,7.84,263.96,alluvial,kharif,rice
74,35,40,26.49,80.15,6.98,242.86,alluvial,kharif,rice
78,42,42,20.13,81.60,7.62,262.71,alluvial,kharif,rice
69,37,42,23.05,83.37,7.07,251.05,alluvial,kharif,rice
94,53,40,20.27,82.89,5.71,241.97,alluvial,kharif,rice
89,54,38,24.51,83.53,6.68,230.44,alluvial,kharif,rice
38,72,19,27.12,65.23,6.84,88.52,black,rabi,wheat
42,68,22,25.43,62.15,7.12,92.41,alluvial,rabi,wheat
40,75,20,26.89,64.88,6.95,85.12,alluvial,rabi,wheat
35,80,18,24.12,60.54,7.20,95.32,black,rabi,wheat
45,70,25,28.05,63.12,6.75,80.45,alluvial,rabi,wheat
78,45,20,23.50,65.20,6.40,95.00,alluvial,kharif,maize
85,40,22,24.80,68.40,6.80,105.00,red,kharif,maize
92,48,25,22.10,64.90,6.20,90.50,alluvial,kharif,maize
80,42,19,25.30,66.10,6.50,110.00,red,kharif,maize
88,50,21,23.90,67.80,6.70,100.00,alluvial,kharif,maize
120,40,20,25.00,80.00,7.50,80.00,black,kharif,cotton
115,45,22,26.50,78.20,7.80,85.00,black,kharif,cotton
130,38,18,24.80,82.10,7.20,75.00,black,kharif,cotton
125,42,25,27.10,79.50,7.60,90.00,black,kharif,cotton
118,44,21,25.90,81.00,7.40,82.00,black,kharif,cotton
20,60,20,28.00,55.00,6.20,65.00,red,kharif,groundnut
25,55,22,29.50,52.40,6.50,70.00,red,kharif,groundnut
18,65,19,27.20,58.10,6.00,60.00,red,kharif,groundnut
22,58,24,30.10,54.80,6.40,75.00,red,kharif,groundnut
24,62,21,28.80,56.20,6.30,68.00,red,kharif,groundnut
80,60,60,28.50,85.00,7.00,180.00,alluvial,kharif,turmeric
85,65,58,27.80,88.20,6.80,195.00,red,kharif,turmeric
78,58,62,29.10,84.50,7.20,175.00,alluvial,kharif,turmeric
82,62,65,28.00,86.10,6.90,190.00,red,kharif,turmeric
100,50,40,28.00,75.00,6.80,150.00,alluvial,annual,sugarcane
110,55,45,29.20,72.40,7.10,165.00,black,annual,sugarcane
95,48,38,27.50,78.10,6.60,140.00,alluvial,annual,sugarcane
105,52,42,28.80,74.50,7.00,155.00,black,annual,sugarcane
40,68,79,18.87,16.48,7.45,80.12,black,rabi,chickpea
35,72,82,17.43,18.12,7.80,75.45,black,rabi,chickpea
42,65,75,19.20,15.90,7.20,85.10,black,rabi,chickpea
38,70,80,18.10,17.20,7.60,78.30,black,rabi,chickpea
100,20,30,26.50,38.50,6.80,45.00,red,kharif,jowar
95,25,32,27.80,35.20,7.10,50.00,black,kharif,jowar
105,18,28,25.90,40.10,6.50,42.00,red,kharif,jowar
100,22,35,28.10,37.80,6.90,48.00,black,kharif,jowar
100,28,30,24.12,62.15,6.50,155.00,laterite,annual,coffee
105,32,35,23.50,65.40,6.20,168.00,laterite,annual,coffee
98,26,28,25.00,60.80,6.80,145.00,laterite,annual,coffee
102,30,32,24.60,63.90,6.40,160.00,laterite,annual,coffee
